Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
UC Davis,Big West,17-13,0.567,+6,164,6.52,159,39.85,205,83.09,139,21.93,2.70,191,37.67,191,37.67,0.00,0.00
Buffalo,Mid-American,17-12,0.586,-9,173,6.48,160,39.58,170,85.05,188,19.69,2.69,234,35.79,234,35.79,0.00,0.00
Florida Intl,Conference USA,20-10,0.667,-1,154,6.60,161,39.30,144,86.52,222,17.95,2.72,223,36.21,223,36.21,0.00,0.00
St Mary's CA,West Coast,13-18,0.419,-9,174,6.45,162,39.28,187,84.12,176,20.33,2.71,113,41.49,113,41.49,0.00,0.00
Nevada,Mountain West,16-15,0.516,,167,6.51,163,39.17,176,84.76,192,19.59,2.74,149,39.31,148,39.53,0.29,0.71
IL Chicago,Missouri Val,17-14,0.548,+2,159,6.56,164,39.12,201,83.27,155,21.02,2.51,147,39.54,147,39.54,0.00,0.00
UTEP,Conference USA,11-18,0.379,-7,194,6.31,165,39.11,125,87.74,263,16.54,2.80,142,39.64,142,39.64,0.00,0.00
Air Force,Mountain West,15-16,0.484,-4,170,6.49,166,39.01,184,84.29,187,19.89,2.71,136,40.25,138,40.22,0.49,0.51
UT Arlington,Western Athletic,15-15,0.500,-3,177,6.43,167,38.98,111,89.31,296,14.83,2.72,161,38.98,162,38.98,0.00,0.00
NC A&T,Coastal,19-10,0.655,-9,163,6.54,168,38.94,213,82.61,145,21.50,2.67,248,35.17,248,35.17,0.00,0.00
PFW,Horizon,21-11,0.656,+3,157,6.58,169,38.79,190,84.04,185,19.93,2.62,220,36.47,210,36.95,0.13,0.87
N Colorado,Big Sky,15-14,0.517,-3,178,6.42,170,38.76,202,83.21,161,20.72,2.65,202,37.27,198,37.45,0.38,0.62
Fresno St,Mountain West,14-17,0.452,-4,193,6.32,171,38.75,192,83.99,184,19.94,2.70,210,36.99,208,37.03,0.51,0.49
Drexel,Coastal,15-14,0.517,+11,187,6.36,172,38.75,287,78.10,67,25.82,2.68,240,35.58,240,35.58,0.00,0.00
Towson,Coastal,18-10,0.643,-3,162,6.54,173,38.74,160,85.52,212,18.40,2.76,225,36.12,233,35.84,0.79,0.21
S Illinois,Missouri Val,11-19,0.367,+19,201,6.28,174,38.74,162,85.34,203,18.57,2.74,144,39.62,144,39.62,0.00,0.00
Louisiana,Sun Belt,19-13,0.594,+7,169,6.50,175,38.72,305,77.23,56,26.66,2.67,224,36.16,220,36.46,0.29,0.71
Long Beach St,Big West,13-17,0.433,+3,191,6.32,176,38.65,138,86.68,245,17.14,2.64,180,38.34,180,38.34,0.00,0.00
Cal Poly,Big West,17-12,0.586,-3,160,6.56,177,38.54,224,81.95,141,21.76,2.66,151,39.27,151,39.27,0.00,0.00
G Washington,Atlantic 10,13-18,0.419,-2,190,6.33,178,38.52,256,79.62,94,24.08,2.76,178,38.43,176,38.43,0.00,0.00
Idaho,Big Sky,15-15,0.500,+1,189,6.34,179,38.50,236,81.22,128,22.45,2.69,231,35.87,225,36.16,0.33,0.67
Loyola-Chicago,Atlantic 10,15-16,0.484,+1,172,6.48,180,38.48,240,81.18,126,22.48,2.62,138,40.22,137,40.22,0.00,0.00
Lamar,Southland,23-5,0.821,+4,143,6.71,181,38.46,215,82.44,151,21.20,2.63,287,32.64,285,32.64,0.00,0.00
Col Charleston,Coastal,21-8,0.724,+10,168,6.51,182,38.34,114,88.52,292,14.99,2.65,296,32.25,296,32.25,0.00,0.00
WI Milwaukee,Horizon,16-16,0.500,-6,198,6.29,183,38.15,220,82.11,150,21.21,2.69,247,35.19,247,35.19,0.00,0.00
Mercer,Southern,15-17,0.469,+1,204,6.27,184,38.11,169,85.07,215,18.21,2.66,222,36.24,222,36.24,0.00,0.00
Delaware,Coastal,11-19,0.367,-5,237,6.11,185,37.98,140,86.63,264,16.53,2.67,229,35.97,229,35.97,0.00,0.00
Southern Indiana,OH Valley,24-6,0.800,+7,151,6.66,186,37.84,168,85.08,223,17.93,2.68,275,33.28,276,33.28,0.00,0.00
Massachusetts,Atlantic 10,5-27,0.156,+3,255,5.97,187,37.79,166,85.20,230,17.77,2.66,112,41.59,112,41.59,0.00,0.00
Idaho St,Big Sky,11-19,0.367,-14,207,6.26,188,37.76,245,80.47,127,22.46,2.77,146,39.55,146,39.55,0.00,0.00
Tennessee Tech,OH Valley,16-15,0.516,,210,6.25,189,37.72,141,86.59,269,16.30,2.70,254,34.30,254,34.30,0.00,0.00
Vermont,America East,21-10,0.677,-3,185,6.38,190,37.72,280,78.37,86,24.52,2.67,305,31.37,305,31.37,0.00,0.00
Abilene Chr,Western Athletic,14-15,0.483,-1,205,6.26,191,37.69,154,86.06,257,16.80,2.77,239,35.62,239,35.62,0.00,0.00
Appalachian St,Sun Belt,17-15,0.531,-5,176,6.45,192,37.62,117,88.30,302,14.49,2.72,167,38.83,168,38.83,0.00,0.00
Utah Tech,Western Athletic,18-13,0.581,+7,184,6.39,193,37.56,124,87.79,295,14.95,2.70,242,35.53,242,35.53,0.00,0.00
